Identifiant station,Nom station,Station en fonctionnement,Capacité de la station,Nombre bornettes libres,Nombre total vélos disponibles,Vélos mécaniques disponibles,Vélos électriques disponibles,Borne de paiement disponible,Retour vélib possible,Actualisation de la donnée,Coordonnées géographiques,Nom communes équipées,Code INSEE communes équipées,Densite de la Station,hour,latitude,longitude,arrondissement
15202,Bracion - Périphérique,OUI,30,21,9,4,5,OUI,OUI,2025-03-13 10:01:06+00:00,"48.826103771275, 2.3004549373748",Paris,75056,0.3,10,48.826103771275,2.3004549373748,15.0
6021,Beaux-Arts - Bonaparte,OUI,20,2,18,11,7,OUI,OUI,2025-03-13 10:00:06+00:00,"48.856451985396, 2.3348518833518",Paris,75056,0.9,10,48.856451985396,2.3348518833518,6.0
2022,Saint-Fiacre - Poissonière,OUI,33,4,29,16,13,OUI,OUI,2025-03-13 10:00:56+00:00,"48.870828911558, 2.3459213599563",Paris,75056,0.8787878787878788,10,48.870828911558,2.3459213599563,2.0
12109,Mairie du 12ème,OUI,29,27,2,2,0,OUI,OUI,2025-03-13 10:00:01+00:00,"48.840855311763, 2.3875549435616",Paris,75056,0.06896551724137931,10,48.840855311763,2.3875549435616,12.0
20143,Ramponeau - Belleville,OUI,44,42,2,2,0,OUI,OUI,2025-03-13 10:01:21+00:00,"48.871031137596, 2.379056852114",Paris,75056,0.045454545454545456,10,48.871031137596,2.379056852114,20.0
8050,Boétie - Ponthieu,OUI,43,2,41,11,30,OUI,OUI,2025-03-13 10:01:00+00:00,"48.871417284355, 2.3076787590981",Paris,75056,0.9534883720930233,10,48.871417284355,2.3076787590981,8.0
15068,Général Martial Valin - Pont du Garigliano,OUI,14,1,13,5,8,OUI,OUI,2025-03-13 09:54:25+00:00,"48.83823094269141, 2.270506024360657",Paris,75056,0.9285714285714286,10,48.83823094269141,2.270506024360657,15.0
13101,Croulebarde - Corvisart,OUI,33,25,8,6,2,OUI,OUI,2025-03-13 10:01:12+00:00,"48.830981659316855, 2.3481646925210953",Paris,75056,0.24242424242424243,10,48.830981659316855,2.3481646925210953,13.0
19027,Serrurier,OUI,18,18,0,0,0,OUI,OUI,2025-03-13 09:57:33+00:00,"48.880493403246, 2.398064173758",Paris,75056,0.0,10,48.880493403246,2.398064173758,19.0
14108,Le Brix et Mesmin - Jourdan,OUI,19,18,1,1,0,OUI,OUI,2025-03-13 09:58:36+00:00,"48.82234096593411, 2.327861653302471",Paris,75056,0.05263157894736842,10,48.82234096593411,2.327861653302471,14.0
44017,Jules Guesde - Pont du Port à l'Anglais,OUI,26,1,25,24,1,OUI,OUI,2025-03-13 09:59:16+00:00,"48.79628807093802, 2.417212128639221",Vitry-sur-Seine,94081,0.9615384615384616,10,48.79628807093802,2.417212128639221,Hors Paris
31024,Romainville - Vaillant-Couturier,OUI,36,35,1,0,1,OUI,OUI,2025-03-13 10:00:03+00:00,"48.86785, 2.446748",Montreuil,93048,0.027777777777777776,10,48.86785,2.446748,Hors Paris
9008,Tour d'Auvergne - Rodier,OUI,16,15,1,0,1,OUI,OUI,2025-03-13 10:00:55+00:00,"48.879161, 2.343698",Paris,75056,0.0625,10,48.879161,2.343698,9.0
17044,Porte de Saint-Ouen - Bessières,OUI,42,34,8,3,5,OUI,OUI,2025-03-13 09:59:08+00:00,"48.89792240854517, 2.32851451022192",Paris,75056,0.19047619047619047,10,48.89792240854517,2.32851451022192,17.0
14013,Liard - Amiral Mouchez,OUI,26,23,3,1,2,OUI,OUI,2025-03-13 09:58:10+00:00,"48.8214169, 2.342167",Paris,75056,0.11538461538461539,10,48.8214169,2.342167,14.0
19033,Cambrai - Benjamin Constant,OUI,40,33,7,2,5,OUI,OUI,2025-03-13 09:59:14+00:00,"48.89594736851349, 2.381133802246315",Paris,75056,0.175,10,48.89594736851349,2.381133802246315,19.0
15112,Vigée-Lebrun - Anselme Payen,OUI,23,20,3,3,0,OUI,OUI,2025-03-13 10:00:24+00:00,"48.838683941628375, 2.3110422492027287",Paris,75056,0.13043478260869565,10,48.838683941628375,2.3110422492027287,15.0
17025,Chazelles - Courcelles,OUI,33,14,19,3,16,OUI,OUI,2025-03-13 10:00:43+00:00,"48.879406604954, 2.3034455627202988",Paris,75056,0.5757575757575758,10,48.879406604954,2.3034455627202988,17.0
9002,Abbeville - Faubourg Poissonnière,OUI,13,11,2,2,0,OUI,OUI,2025-03-13 09:55:53+00:00,"48.879223, 2.349147",Paris,75056,0.15384615384615385,10,48.879223,2.349147,9.0
21326,Moulin de Pierre - Abbé Grégoire,OUI,20,18,2,0,2,OUI,OUI,2025-03-13 09:55:47+00:00,"48.822036188382, 2.2754641655975",Issy-les-Moulineaux,92040,0.1,10,48.822036188382,2.2754641655975,Hors Paris
16110,Octave Feuillet - Albéric Magnard,OUI,21,2,19,3,16,OUI,OUI,2025-03-13 09:59:32+00:00,"48.86106902949534, 2.2730283066630363",Paris,75056,0.9047619047619048,10,48.86106902949534,2.2730283066630363,16.0
43002,Lagny - Victor Basch,OUI,24,17,7,5,2,OUI,OUI,2025-03-13 09:59:13+00:00,"48.84884147189881, 2.426325418925233",Vincennes,94080,0.2916666666666667,10,48.84884147189881,2.426325418925233,Hors Paris
43009,Place Jean-Spire-Lemaître,OUI,48,48,0,0,0,OUI,OUI,2025-03-13 09:52:39+00:00,"48.8468428626593, 2.452062070369721",Vincennes,94080,0.0,10,48.8468428626593,2.452062070369721,Hors Paris
16138,Saint-Cloud - Hippodrome,OUI,30,22,8,3,5,OUI,OUI,2025-03-13 09:55:29+00:00,"48.85772148887421, 2.2549109905958176",Paris,75056,0.26666666666666666,10,48.85772148887421,2.2549109905958176,16.0
17032,Jean Oestreicher - Porte de Champerret,OUI,21,4,17,9,8,OUI,OUI,2025-03-13 10:01:12+00:00,"48.88655580065981, 2.288640439510346",Paris,75056,0.8095238095238095,10,48.88655580065981,2.288640439510346,17.0
21216,Louis Lejeune - Barbès,OUI,24,23,1,0,1,OUI,OUI,2025-03-13 09:51:48+00:00,"48.81807418981508, 2.3267009854316716",Montrouge,92049,0.041666666666666664,10,48.81807418981508,2.3267009854316716,Hors Paris
10115,Granges aux Belles,OUI,27,25,2,2,0,OUI,OUI,2025-03-13 10:00:45+00:00,"48.8761373390584, 2.3680844979417",Paris,75056,0.07407407407407407,10,48.8761373390584,2.3680844979417,10.0
22207,Rond-point du Dr Albert Schweitzer,OUI,21,16,5,3,2,OUI,OUI,2025-03-13 09:57:00+00:00,"48.78980918988166, 2.3143940046429634",Bagneux,92007,0.23809523809523808,10,48.78980918988166,2.3143940046429634,Hors Paris
12031,Gabriel Lamé,OUI,34,26,8,6,2,OUI,OUI,2025-03-13 10:00:35+00:00,"48.8351212784276, 2.385534569621086",Paris,75056,0.23529411764705882,10,48.8351212784276,2.385534569621086,12.0
92002,Théâtre des Amandiers - Palais des sports,OUI,23,5,18,8,10,OUI,OUI,2025-03-13 10:00:18+00:00,"48.892648526839, 2.2136941552162",Nanterre,92050,0.782608695652174,10,48.892648526839,2.2136941552162,Hors Paris
1001,Quai de l'Horloge - Pont Neuf,OUI,16,1,15,12,3,OUI,OUI,2025-03-13 10:01:14+00:00,"48.857058739111, 2.3417982839439",Paris,75056,0.9375,10,48.857058739111,2.3417982839439,1.0
31028,Raspail Barbès,OUI,28,26,2,1,1,OUI,OUI,2025-03-13 10:01:28+00:00,"48.8529945, 2.4247387",Montreuil,93048,0.07142857142857142,10,48.8529945,2.4247387,Hors Paris
5022,Boulangers - Cardinal Lemoine,OUI,18,4,14,9,5,OUI,OUI,2025-03-13 09:59:23+00:00,"48.8462904, 2.3521495",Paris,75056,0.7777777777777778,10,48.8462904,2.3521495,5.0
17048,De Toqueville - Terrasse,OUI,30,27,3,3,0,OUI,OUI,2025-03-13 09:59:29+00:00,"48.882428, 2.314002",Paris,75056,0.1,10,48.882428,2.314002,17.0
17040,Pereire - Ternes,OUI,48,46,2,1,1,OUI,OUI,2025-03-13 09:56:49+00:00,"48.87973954830735, 2.288012132048607",Paris,75056,0.041666666666666664,10,48.87973954830735,2.288012132048607,17.0
9038,Douai - Bruxelles,OUI,26,21,5,0,5,OUI,OUI,2025-03-13 09:59:04+00:00,"48.88320784122797, 2.3308449949028507",Paris,75056,0.19230769230769232,10,48.88320784122797,2.3308449949028507,9.0
16118,Michel-Ange - Parent de Rosan,OUI,24,19,5,1,4,OUI,OUI,2025-03-13 10:01:00+00:00,"48.840579923690115, 2.2584119439125065",Paris,75056,0.20833333333333334,10,48.840579923690115,2.2584119439125065,16.0
17008,Porte Pouchet-Bessières,OUI,23,12,11,9,2,OUI,OUI,2025-03-13 09:59:08+00:00,"48.8978765, 2.3230632",Paris,75056,0.4782608695652174,10,48.8978765,2.3230632,17.0
2017,Caire - Dussoubs,OUI,39,3,36,27,9,OUI,OUI,2025-03-13 10:01:08+00:00,"48.86785342111862, 2.349364310503006",Paris,75056,0.9230769230769231,10,48.86785342111862,2.349364310503006,2.0
7018,Ségur - d'Estrées,OUI,19,1,18,8,10,OUI,OUI,2025-03-13 10:00:35+00:00,"48.851419978983, 2.3097044974566",Paris,75056,0.9473684210526315,10,48.851419978983,2.3097044974566,7.0
8103,Artois - Berri,OUI,22,2,20,9,11,OUI,OUI,2025-03-13 10:00:44+00:00,"48.87393521240818, 2.3064258322119713",Paris,75056,0.9090909090909091,10,48.87393521240818,2.3064258322119713,8.0
21323,Charlot - Stade Gabriel Voisin,OUI,31,1,30,26,4,OUI,OUI,2025-03-13 10:01:26+00:00,"48.827228120536, 2.268122527474",Issy-les-Moulineaux,92040,0.967741935483871,10,48.827228120536,2.268122527474,Hors Paris
8048,Marceau - Chaillot,OUI,19,5,14,4,10,OUI,OUI,2025-03-13 09:59:34+00:00,"48.868834023334, 2.2986030816809",Paris,75056,0.7368421052631579,10,48.868834023334,2.2986030816809,16.0
8053,Place Georges Guillaumin,OUI,27,11,16,6,10,OUI,OUI,2025-03-13 09:58:53+00:00,"48.874750203957, 2.301771435326",Paris,75056,0.5925925925925926,10,48.874750203957,2.301771435326,8.0
13118,Regnault - Patay,OUI,62,10,52,41,11,OUI,OUI,2025-03-13 09:59:12+00:00,"48.82435782216384, 2.377065159380436",Paris,75056,0.8387096774193549,10,48.82435782216384,2.377065159380436,13.0
9014,Faubourg Montmartre - La Fayette,OUI,32,1,31,17,14,OUI,OUI,2025-03-13 10:00:33+00:00,"48.875254549053, 2.3408536612988",Paris,75056,0.96875,10,48.875254549053,2.3408536612988,9.0
13030,Italie - Tolbiac,OUI,21,19,2,2,0,OUI,OUI,2025-03-13 10:00:22+00:00,"48.82557229464416, 2.3576171323657036",Paris,75056,0.09523809523809523,10,48.82557229464416,2.3576171323657036,13.0
31706,Château - République,OUI,25,19,6,2,4,OUI,OUI,2025-03-13 10:01:13+00:00,"48.862923800596, 2.4155035614967",Bagnolet,93006,0.24,10,48.862923800596,2.4155035614967,Hors Paris
18111,Félix Ziem - Armand Gauthier,OUI,21,21,0,0,0,OUI,OUI,2025-03-13 09:56:54+00:00,"48.88949630486821, 2.333393658804396",Paris,75056,0.0,10,48.88949630486821,2.333393658804396,18.0
19015,Thionville - Ourcq,OUI,22,22,0,0,0,OUI,OUI,2025-03-13 09:56:34+00:00,"48.88917613743794, 2.3833653330802917",Paris,75056,0.0,10,48.88917613743794,2.3833653330802917,19.0
48003,Youri Gagarine - Karl Marx,OUI,22,18,4,2,2,OUI,OUI,2025-03-13 09:55:29+00:00,"48.78448485079149, 2.35908430069685",Villejuif,94076,0.18181818181818182,10,48.78448485079149,2.35908430069685,Hors Paris
17004,Legendre - Clichy,OUI,39,35,4,1,3,OUI,OUI,2025-03-13 09:58:56+00:00,"48.88896161855884, 2.322528975094376",Paris,75056,0.10256410256410256,10,48.88896161855884,2.322528975094376,17.0
9001,Bellefond - Poissonnière,OUI,14,11,3,2,1,OUI,OUI,2025-03-13 09:59:32+00:00,"48.87759897050706, 2.348463758826256",Paris,75056,0.21428571428571427,10,48.87759897050706,2.348463758826256,9.0
19003,Quai de la Seine,OUI,24,23,1,0,1,OUI,OUI,2025-03-13 09:59:24+00:00,"48.884492238407525, 2.3703941702842717",Paris,75056,0.041666666666666664,10,48.884492238407525,2.3703941702842717,19.0
8016,Square Louis XVI,OUI,29,2,27,15,12,OUI,OUI,2025-03-13 09:59:02+00:00,"48.87320440102894, 2.323658830743138",Paris,75056,0.9310344827586207,10,48.87320440102894,2.323658830743138,8.0
5020,Institut du Monde Arabe - Saint-Germain,OUI,38,3,35,32,3,OUI,OUI,2025-03-13 10:00:41+00:00,"48.849063299501, 2.3558086529374",Paris,75056,0.9210526315789473,10,48.849063299501,2.3558086529374,5.0
10029,Dunkerque - Rocroy,OUI,24,23,1,0,1,OUI,OUI,2025-03-13 09:57:26+00:00,"48.880726, 2.351464",Paris,75056,0.041666666666666664,10,48.880726,2.351464,10.0
92007,Pesaro - Préfecture,OUI,21,12,9,2,7,OUI,OUI,2025-03-13 10:01:26+00:00,"48.89577046284005, 2.223908342421055",Nanterre,92050,0.42857142857142855,10,48.89577046284005,2.223908342421055,Hors Paris
10161,Gare de l'Est - Faubourg-Saint-Martin,OUI,32,25,7,2,5,OUI,OUI,2025-03-13 09:56:52+00:00,"48.875642647477, 2.3594588041306",Paris,75056,0.21875,10,48.875642647477,2.3594588041306,10.0
26002,Redoute - Les Courtilles,OUI,37,14,23,16,7,OUI,OUI,2025-03-13 10:01:10+00:00,"48.929867194519, 2.2836696356535",Asnières-sur-Seine,92004,0.6216216216216216,10,48.929867194519,2.2836696356535,Hors Paris
41303,Gare de Nogent-le-Perreux,OUI,30,18,12,10,2,OUI,OUI,2025-03-13 09:58:56+00:00,"48.83842553348809, 2.493693307042122",Nogent-sur-Marne,94052,0.4,10,48.83842553348809,2.493693307042122,Hors Paris
11023,Saint-Maur - Roquette,OUI,46,43,3,0,3,OUI,OUI,2025-03-13 10:00:21+00:00,"48.858688774062955, 2.383553994571467",Paris,75056,0.06521739130434782,10,48.858688774062955,2.383553994571467,11.0
21328,Verger - Colonel Guichard,OUI,29,27,2,0,2,OUI,OUI,2025-03-13 10:00:59+00:00,"48.816376985087, 2.2670380088932",Issy-les-Moulineaux,92040,0.06896551724137931,10,48.816376985087,2.2670380088932,Hors Paris
45003,11 Novembre 1918 - 8 Mai 1945,OUI,36,13,23,14,9,OUI,OUI,2025-03-13 09:55:31+00:00,"48.80889533774377, 2.5382421165704727",Champigny-sur-Marne,94017,0.6388888888888888,10,48.80889533774377,2.5382421165704727,Hors Paris
13104,Gare d'Austerlitz - Quai Saint-Bernard,OUI,26,4,22,16,6,OUI,OUI,2025-03-13 10:00:15+00:00,"48.84369030864, 2.3657163977623",Paris,75056,0.8461538461538461,10,48.84369030864,2.3657163977623,13.0
11047,Amelot - Saint-Sébastien,OUI,29,13,16,10,6,OUI,OUI,2025-03-13 10:01:25+00:00,"48.861142162761, 2.3677996181077",Paris,75056,0.5517241379310345,10,48.861142162761,2.3677996181077,11.0
8009,Gare Saint-Lazare - Isly,OUI,25,11,14,9,5,OUI,OUI,2025-03-13 10:01:03+00:00,"48.874777677621296, 2.326515804784655",Paris,75056,0.56,10,48.874777677621296,2.326515804784655,8.0
5032,Panthéon - Valette,OUI,39,0,39,6,33,OUI,OUI,2025-03-13 09:58:56+00:00,"48.847020571652, 2.3464982619671",Paris,75056,1.0,10,48.847020571652,2.3464982619671,5.0
31103,Gare Rosny-Bois-Perrier,OUI,32,14,18,0,18,OUI,OUI,2025-03-13 09:59:26+00:00,"48.88115023337061, 2.480436824262142",Rosny-sous-Bois,93064,0.5625,10,48.88115023337061,2.480436824262142,Hors Paris
20042,Pyrénées - Emmery,OUI,39,37,2,0,2,OUI,OUI,2025-03-13 09:56:02+00:00,"48.872010281270974, 2.392039597034455",Paris,75056,0.05128205128205128,10,48.872010281270974,2.392039597034455,20.0
18203,Lamarck - Saint-Ouen,OUI,40,40,0,0,0,NON,NON,2025-03-13 09:57:16+00:00,"48.891334555236, 2.3272445342326",Paris,75056,0.0,10,48.891334555236,2.3272445342326,18.0
15067,Desaix - Edgar Faure,OUI,11,3,8,5,3,OUI,OUI,2025-03-13 09:57:55+00:00,"48.852804604940296, 2.293077029857222",Paris,75056,0.7272727272727273,10,48.852804604940296,2.293077029857222,15.0
5005,Gay Lussac - Saint-Jacques,OUI,24,1,23,6,17,OUI,OUI,2025-03-13 09:54:05+00:00,"48.844730256132, 2.3419239448664",Paris,75056,0.9583333333333334,10,48.844730256132,2.3419239448664,5.0
17030,Pereire - Rennequin,OUI,22,21,1,0,1,OUI,OUI,2025-03-13 09:57:42+00:00,"48.88364782887555, 2.2952447086572647",Paris,75056,0.045454545454545456,10,48.88364782887555,2.2952447086572647,17.0
9106,Boudreau - Auber,OUI,27,7,20,7,13,OUI,OUI,2025-03-13 09:59:26+00:00,"48.87219, 2.329423",Paris,75056,0.7407407407407407,10,48.87219,2.329423,9.0
6006,Notre-Dame-des-Champs - Stanislas,OUI,19,1,18,12,6,OUI,OUI,2025-03-13 09:57:20+00:00,"48.84479928858768, 2.329337755887181",Paris,75056,0.9473684210526315,10,48.84479928858768,2.329337755887181,6.0
19105,Ambroise Rendu - Porte Brunet,OUI,17,14,3,2,1,OUI,OUI,2025-03-13 10:00:33+00:00,"48.883667, 2.395733",Paris,75056,0.17647058823529413,10,48.883667,2.395733,19.0
11027,Saint-Ambroise - Parmentier,OUI,34,18,16,11,5,OUI,OUI,2025-03-13 10:00:38+00:00,"48.862147844548, 2.3772348091006",Paris,75056,0.47058823529411764,10,48.862147844548,2.3772348091006,11.0
22409,Henri Barbusse - Stalingrad,OUI,15,15,0,0,0,OUI,OUI,2025-03-13 09:54:13+00:00,"48.814183748660554, 2.2872862592339516",Malakoff,92046,0.0,10,48.814183748660554,2.2872862592339516,Hors Paris
8010,Liège - Moscou,OUI,15,13,2,0,2,OUI,OUI,2025-03-13 10:00:14+00:00,"48.8795431, 2.3264628",Paris,75056,0.13333333333333333,10,48.8795431,2.3264628,8.0
9022,Rossini - Laffitte,OUI,33,2,31,18,13,OUI,OUI,2025-03-13 10:00:49+00:00,"48.87334627510507, 2.337980867701675",Paris,75056,0.9393939393939394,10,48.87334627510507,2.337980867701675,9.0
41302,Charles de Gaulle - Beauté,OUI,48,48,0,0,0,OUI,OUI,2025-03-13 09:59:31+00:00,"48.83649602312711, 2.479562651149885",Nogent-sur-Marne,94052,0.0,10,48.83649602312711,2.479562651149885,Hors Paris
26003,Argenteuil - Voltaire,OUI,16,14,2,1,1,OUI,OUI,2025-03-13 09:57:26+00:00,"48.91864865955558, 2.2814112156629562",Asnières-sur-Seine,92004,0.125,10,48.91864865955558,2.2814112156629562,Hors Paris
14020,Cimetière de Montrouge,OUI,58,54,4,1,3,OUI,OUI,2025-03-13 09:54:18+00:00,"48.821466904768, 2.3215785772007",Paris,75056,0.06896551724137931,10,48.821466904768,2.3215785772007,14.0
12151,Gare de Lyon - Place Louis Armand,OUI,58,4,54,44,10,OUI,OUI,2025-03-13 10:01:26+00:00,"48.845515089794, 2.3726498446286",Paris,75056,0.9310344827586207,10,48.845515089794,2.3726498446286,12.0
21212,Marne - Germain Dardan,OUI,21,18,3,2,1,OUI,OUI,2025-03-13 09:59:40+00:00,"48.81217465201, 2.3035024699104",Montrouge,92049,0.14285714285714285,10,48.81217465201,2.3035024699104,Hors Paris
16026,Ranelagh - Mozart,OUI,7,5,2,1,1,OUI,OUI,2025-03-13 10:00:06+00:00,"48.8554439, 2.2704418",Paris,75056,0.2857142857142857,10,48.8554439,2.2704418,16.0
44006,Concorde - Stalingrad,OUI,35,31,4,1,3,OUI,OUI,2025-03-13 09:56:52+00:00,"48.7985844, 2.3821302",Vitry-sur-Seine,94081,0.11428571428571428,10,48.7985844,2.3821302,Hors Paris
9028,Moncey - Blanche,OUI,17,10,7,5,2,OUI,OUI,2025-03-13 09:58:34+00:00,"48.88006587474148, 2.3310810327529907",Paris,75056,0.4117647058823529,10,48.88006587474148,2.3310810327529907,9.0
19120,Carducci - Place Hannah Arendt,OUI,27,26,1,0,1,OUI,OUI,2025-03-13 10:00:55+00:00,"48.877436681515796, 2.3860743641853337",Paris,75056,0.037037037037037035,10,48.877436681515796,2.3860743641853337,19.0
10107,Gare du Nord - Hôpital Lariboisière,OUI,49,48,1,0,1,OUI,OUI,2025-03-13 09:58:29+00:00,"48.881949, 2.352339",Paris,75056,0.02040816326530612,10,48.881949,2.352339,10.0
11113,Richard Lenoir - Republique,OUI,57,18,39,37,2,OUI,OUI,2025-03-13 10:00:59+00:00,"48.8667175, 2.3692541",Paris,75056,0.6842105263157895,10,48.8667175,2.3692541,11.0
17043,Belidor - Gouvion-Saint-Cyr,OUI,38,26,12,11,1,OUI,OUI,2025-03-13 10:01:17+00:00,"48.88022154052015, 2.2854680567979813",Paris,75056,0.3157894736842105,10,48.88022154052015,2.2854680567979813,17.0
14003,Schoelcher - Raspail,OUI,48,43,5,1,4,OUI,OUI,2025-03-13 09:56:05+00:00,"48.83681733526843, 2.3312794080411474",Paris,75056,0.10416666666666667,10,48.83681733526843,2.3312794080411474,14.0
19026,Place de Rhin et Danube,OUI,14,14,0,0,0,OUI,OUI,2025-03-13 09:53:32+00:00,"48.88192765861766, 2.392586767673493",Paris,75056,0.0,10,48.88192765861766,2.392586767673493,19.0
43008,Fontenay - Libération,OUI,25,20,5,0,5,OUI,OUI,2025-03-13 09:59:42+00:00,"48.847803063647, 2.4451419711113",Vincennes,94080,0.2,10,48.847803063647,2.4451419711113,Hors Paris
