Identifiant station,Nom station,Station en fonctionnement,Capacité de la station,Nombre bornettes libres,Nombre total vélos disponibles,Vélos mécaniques disponibles,Vélos électriques disponibles,Borne de paiement disponible,Retour vélib possible,Actualisation de la donnée,Coordonnées géographiques,Nom communes équipées,Code INSEE communes équipées,Densite de la Station
2022,Saint-Fiacre - Poissonière,OUI,33,29,4,1,3,OUI,OUI,2025-03-13T05:57:07+00:00,"48.870828911558, 2.3459213599563",Paris,75056,0.12121212121212122
17025,Chazelles - Courcelles,OUI,33,24,9,5,4,OUI,OUI,2025-03-13T05:59:27+00:00,"48.879406604954, 2.3034455627202988",Paris,75056,0.2727272727272727
17044,Porte de Saint-Ouen - Bessières,OUI,42,23,19,9,10,OUI,OUI,2025-03-13T05:57:08+00:00,"48.89792240854517, 2.32851451022192",Paris,75056,0.4523809523809524
20143,Ramponeau - Belleville,OUI,43,39,4,1,3,OUI,OUI,2025-03-13T05:56:11+00:00,"48.871031137596, 2.379056852114",Paris,75056,0.09302325581395349
19033,Cambrai - Benjamin Constant,OUI,41,39,2,1,1,OUI,OUI,2025-03-13T05:57:14+00:00,"48.89594736851349, 2.381133802246315",Paris,75056,0.04878048780487805
43002,Lagny - Victor Basch,OUI,23,7,16,4,12,OUI,OUI,2025-03-13T05:59:07+00:00,"48.84884147189881, 2.426325418925233",Vincennes,94080,0.6956521739130435
21326,Moulin de Pierre - Abbé Grégoire,OUI,20,18,2,0,2,OUI,OUI,2025-03-13T05:53:27+00:00,"48.822036188382, 2.2754641655975",Issy-les-Moulineaux,92040,0.1
17048,De Toqueville - Terrasse,OUI,30,17,13,12,1,OUI,OUI,2025-03-13T05:58:38+00:00,"48.882428, 2.314002",Paris,75056,0.43333333333333335
16138,Saint-Cloud - Hippodrome,OUI,30,24,6,3,3,OUI,OUI,2025-03-13T05:52:50+00:00,"48.85772148887421, 2.2549109905958176",Paris,75056,0.2
2017,Caire - Dussoubs,OUI,38,19,19,17,2,OUI,OUI,2025-03-13T05:59:03+00:00,"48.86785342111862, 2.349364310503006",Paris,75056,0.5
21216,Louis Lejeune - Barbès,OUI,24,16,8,4,4,OUI,OUI,2025-03-13T06:00:23+00:00,"48.81807418981508, 2.3267009854316716",Montrouge,92049,0.3333333333333333
9008,Tour d'Auvergne - Rodier,OUI,17,11,6,4,2,OUI,OUI,2025-03-13T05:58:53+00:00,"48.879161, 2.343698",Paris,75056,0.35294117647058826
15068,Général Martial Valin - Pont du Garigliano,OUI,16,7,9,4,5,OUI,OUI,2025-03-13T05:57:42+00:00,"48.83823094269141, 2.270506024360657",Paris,75056,0.5625
8048,Marceau - Chaillot,OUI,18,15,3,2,1,OUI,OUI,2025-03-13T05:51:16+00:00,"48.868834023334, 2.2986030816809",Paris,75056,0.16666666666666666
22207,Rond-point du Dr Albert Schweitzer,OUI,21,16,5,4,1,OUI,OUI,2025-03-13T05:57:52+00:00,"48.78980918988166, 2.3143940046429634",Bagneux,92007,0.23809523809523808
14013,Liard - Amiral Mouchez,OUI,26,19,7,3,4,OUI,OUI,2025-03-13T05:58:35+00:00,"48.8214169, 2.342167",Paris,75056,0.2692307692307692
92002,Théâtre des Amandiers - Palais des sports,OUI,23,11,12,6,6,OUI,OUI,2025-03-13T05:58:14+00:00,"48.892648526839, 2.2136941552162",Nanterre,92050,0.5217391304347826
13118,Regnault - Patay,OUI,63,22,41,32,9,OUI,OUI,2025-03-13T05:56:36+00:00,"48.82435782216384, 2.377065159380436",Paris,75056,0.6507936507936508
19027,Serrurier,OUI,18,15,3,0,3,OUI,OUI,2025-03-13T05:55:00+00:00,"48.880493403246, 2.398064173758",Paris,75056,0.16666666666666666
13030,Italie - Tolbiac,OUI,21,8,13,3,10,OUI,OUI,2025-03-13T06:00:35+00:00,"48.82557229464416, 2.3576171323657036",Paris,75056,0.6190476190476191
31028,Raspail Barbès,OUI,28,28,0,0,0,OUI,OUI,2025-03-13T05:58:59+00:00,"48.8529945, 2.4247387",Montreuil,93048,0.0
9002,Abbeville - Faubourg Poissonnière,OUI,14,11,3,3,0,OUI,OUI,2025-03-13T05:53:29+00:00,"48.879223, 2.349147",Paris,75056,0.21428571428571427
44017,Jules Guesde - Pont du Port à l'Anglais,OUI,26,0,26,21,5,OUI,OUI,2025-03-13T05:57:21+00:00,"48.79628807093802, 2.417212128639221",Vitry-sur-Seine,94081,1.0
48003,Youri Gagarine - Karl Marx,OUI,21,17,4,1,3,OUI,OUI,2025-03-13T05:56:44+00:00,"48.78448485079149, 2.35908430069685",Villejuif,94076,0.19047619047619047
9001,Bellefond - Poissonnière,OUI,15,7,8,7,1,OUI,OUI,2025-03-13T05:58:26+00:00,"48.87759897050706, 2.348463758826256",Paris,75056,0.5333333333333333
16118,Michel-Ange - Parent de Rosan,OUI,25,2,23,14,9,OUI,OUI,2025-03-13T05:55:00+00:00,"48.840579923690115, 2.2584119439125065",Paris,75056,0.92
10115,Granges aux Belles,OUI,27,15,12,7,5,OUI,OUI,2025-03-13T05:58:30+00:00,"48.8761373390584, 2.3680844979417",Paris,75056,0.4444444444444444
8103,Artois - Berri,OUI,22,21,1,0,1,OUI,OUI,2025-03-13T05:55:35+00:00,"48.87393521240818, 2.3064258322119713",Paris,75056,0.045454545454545456
10029,Dunkerque - Rocroy,OUI,23,22,1,0,1,OUI,OUI,2025-03-13T05:57:45+00:00,"48.880726, 2.351464",Paris,75056,0.043478260869565216
15112,Vigée-Lebrun - Anselme Payen,OUI,23,21,2,1,1,OUI,OUI,2025-03-13T05:58:18+00:00,"48.838683941628375, 2.3110422492027287",Paris,75056,0.08695652173913043
10161,Gare de l'Est - Faubourg-Saint-Martin,OUI,32,20,12,9,3,OUI,OUI,2025-03-13T06:00:58+00:00,"48.875642647477, 2.3594588041306",Paris,75056,0.375
18111,Félix Ziem - Armand Gauthier,OUI,21,10,11,4,7,OUI,OUI,2025-03-13T05:57:51+00:00,"48.88949630486821, 2.333393658804396",Paris,75056,0.5238095238095238
41303,Gare de Nogent-le-Perreux,OUI,30,14,16,12,4,OUI,OUI,2025-03-13T05:59:25+00:00,"48.83842553348809, 2.493693307042122",Nogent-sur-Marne,94052,0.5333333333333333
16110,Octave Feuillet - Albéric Magnard,OUI,21,19,2,1,1,OUI,OUI,2025-03-13T05:59:55+00:00,"48.86106902949534, 2.2730283066630363",Paris,75056,0.09523809523809523
12031,Gabriel Lamé,OUI,35,32,3,3,0,OUI,OUI,2025-03-13T05:56:35+00:00,"48.8351212784276, 2.385534569621086",Paris,75056,0.08571428571428572
43009,Place Jean-Spire-Lemaître,OUI,49,43,6,5,1,OUI,OUI,2025-03-13T06:00:32+00:00,"48.8468428626593, 2.452062070369721",Vincennes,94080,0.12244897959183673
1001,Quai de l'Horloge - Pont Neuf,OUI,16,8,8,8,0,OUI,OUI,2025-03-13T05:59:11+00:00,"48.857058739111, 2.3417982839439",Paris,75056,0.5
17032,Jean Oestreicher - Porte de Champerret,OUI,21,13,8,1,7,OUI,OUI,2025-03-13T05:59:56+00:00,"48.88655580065981, 2.288640439510346",Paris,75056,0.38095238095238093
5022,Boulangers - Cardinal Lemoine,OUI,18,13,5,2,3,OUI,OUI,2025-03-13T05:57:31+00:00,"48.8462904, 2.3521495",Paris,75056,0.2777777777777778
8016,Square Louis XVI,OUI,29,21,8,7,1,OUI,OUI,2025-03-13T05:52:47+00:00,"48.87320440102894, 2.323658830743138",Paris,75056,0.27586206896551724
9038,Douai - Bruxelles,OUI,26,26,0,0,0,OUI,OUI,2025-03-13T06:00:33+00:00,"48.88320784122797, 2.3308449949028507",Paris,75056,0.0
21328,Verger - Colonel Guichard,OUI,29,28,1,0,1,OUI,OUI,2025-03-13T05:59:07+00:00,"48.816376985087, 2.2670380088932",Issy-les-Moulineaux,92040,0.034482758620689655
17008,Porte Pouchet-Bessières,OUI,23,6,17,9,8,OUI,OUI,2025-03-13T05:55:34+00:00,"48.8978765, 2.3230632",Paris,75056,0.7391304347826086
13104,Gare d'Austerlitz - Quai Saint-Bernard,OUI,26,6,20,16,4,OUI,OUI,2025-03-13T05:59:51+00:00,"48.84369030864, 2.3657163977623",Paris,75056,0.7692307692307693
7018,Ségur - d'Estrées,OUI,19,14,5,3,2,OUI,OUI,2025-03-13T05:57:12+00:00,"48.851419978983, 2.3097044974566",Paris,75056,0.2631578947368421
17040,Pereire - Ternes,OUI,46,40,6,6,0,OUI,OUI,2025-03-13T06:01:01+00:00,"48.87973954830735, 2.288012132048607",Paris,75056,0.13043478260869565
5005,Gay Lussac - Saint-Jacques,OUI,24,23,1,0,1,OUI,OUI,2025-03-13T05:51:51+00:00,"48.844730256132, 2.3419239448664",Paris,75056,0.041666666666666664
8009,Gare Saint-Lazare - Isly,OUI,25,13,12,5,7,OUI,OUI,2025-03-13T05:59:13+00:00,"48.874777677621296, 2.326515804784655",Paris,75056,0.48
